"Timestamp","Are you interested in video games?","Do you play video games?","How old are you?","What is your gender?","How long have you studied biology?","Are you interested in biology?","Before playing Hero.Coli, had you ever heard about synthetic biology?","Before playing Hero.Coli, had you ever heard about BioBricks?","Have you ever played an older version of Hero.Coli before?","Have you played the current version of Hero.Coli?","Have you played the arcade cabinet version of Hero.Coli?","Have you played the Android version of Hero.Coli?","In order to modify the abilities of the bacterium, you have to...","What are BioBricks and devices?","What is the name of this BioBrick?","What is the name of this BioBrick?","What is the name of this BioBrick?","What is the name of this BioBrick?","What does this BioBrick do?","What does this BioBrick do?","What does this BioBrick do?","What does this BioBrick do?","Pick the case where the BioBricks are well-ordered:","When does green fluorescence happen?","What happens when you unequip the movement device?","What is this?","What does this device do?","What does this device do?","What does this device do?","What does this device do?","What does this device do?","What does this device do?","What does this device do?","What does this device do?","Guess: what would a device producing l-arabinose do, if it started with a l-arabinose-induced promoter?","Guess: the bacterium would glow yellow...","What is the species of the bacterium of the game?","What is the scientific name of the tails of the bacterium?","Find the antibiotic:","You can write down remarks here.","Do not edit -  pre-filled anonymous ID"
"2017/08/18 3:22:26 PM GMT+1","Extremely","Extremely","23","Female","Until bachelor's degree","Extremely","Yes","","No","Yes","","","Edit the DNA of the bacterium","DNA sequences","Terminator","Promoter","Fluorescence","RBS","","","","","Option 2","Under blue light, when the GFP device is equipped","Flagella quickly disappear one by one","A plasmid - it makes it possible to equip an additional device","I don't know","I don't know","It generates antibiotic resistance","It generates green fluorescence in presence of l-arabinose","It generates green fluorescence","It makes it possible to move faster","It generates antibiotic resistance","It generates green fluorescence in presence of l-arabinose","After being induced, it would produce more and more l-arabinose, because it would induce itself","I don't know","E. Coli","Flagella","Ampicillin","Your game is amazing. One suggestion. In several points throughout the game i had no idea where to go. maybe a minimap would help","8d352896-a3f1-471c-8439-0f426df901c1"
"2017/09/06 1:28:03 PM GMT+1","Moderately","Moderately","28","Other","Until the end of high school","Moderately","Yes","","No","Yes","","","Edit the DNA of the bacterium","DNA sequences","Terminator","Promoter","Coding Sequence","RBS","","","","","Option 1","Under blue light, when the GFP device is equipped","Flagella quickly disappear one by one","A plasmid - it makes it possible to equip an additional device","It generates green fluorescence","It makes it possible to move faster","It generates antibiotic resistance","It generates green fluorescence in presence of l-arabinose","It generates green fluorescence","It makes it possible to move faster","It generates antibiotic resistance","It generates green fluorescence in presence of l-arabinose","After being induced, it would produce more and more l-arabinose, because it would induce itself","I don't know","E. Coli","Flagella","Ampicillin","This was a nice educational game, thank you for your efforts.","7037c5b2-c286-498e-9784-9a061c778609"
"2017/09/12 9:02:06 AM GMT+1","A lot","Moderately","20","Female","Until bachelor's degree","Moderately","No","","No","Yes","","","Edit the DNA of the bacterium","Genes","Terminator","Promoter","I don't know","ATP","","","","","Option 1","In front of the doors, when the GFP device is equipped","Flagella quickly disappear one by one","A plasmid - it makes it possible to equip an additional device","It generates green fluorescence in presence of l-arabinose","It generates antibiotic resistance","It generates antibiotic resistance","It generates green fluorescence in presence of l-arabinose","It generates green fluorescence in presence of l-arabinose","It makes it possible to move faster","It generates antibiotic resistance","It generates green fluorescence","I don't know","If it produces BFP under purple light","E. Coli","Flagella","Ampicillin","","5c4939b5-425b-4d19-b5d2-0384a515539e"
"2017/09/17 6:34:56 PM GMT+1","Moderately","Moderately","21","Male","Until bachelor's degree","A lot","Yes","","No","Yes","","","Edit the DNA of the bacterium","DNA sequences","Terminator","Promoter","Coding Sequence","RBS","","","","","Option 1","Under blue light, when the GFP device is equipped","Flagella quickly disappear one by one","A plasmid - it makes it possible to equip an additional device","It generates green fluorescence","It makes it possible to move faster","It generates antibiotic resistance","It generates green fluorescence in presence of l-arabinose","It generates green fluorescence","It makes it possible to move faster","It generates antibiotic resistance","It generates green fluorescence in presence of l-arabinose","After being induced, it would produce more and more l-arabinose, because it would induce itself","If it produces YFP under cyan light","E. Coli","Flagella","Ampicillin","Interested to work on Synthetic Biology as a design engineer.","acb9c989-b4a6-4c4d-81cc-6b5783ec71d8"
"2017/10/16 12:46:49 PM GMT+1","Moderately","Rarely","18","Female","Until bachelor's degree","A lot","No","No","No","No","No","No","Edit the DNA of the bacterium","I don't know","Trespasser","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","Under blue light, all the time","I don't know","I don't know","","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","If it produced YFP under cyan light","I don't know","I don't know","Ampicillin","","1a03bc9e-bed4-4ddd-be7f-af23b1d5eb65"
"2017/10/16 12:48:34 PM GMT+1","A lot","Rarely","19","Female","Until the end of high school","Extremely","Yes","No","No","No","No","No","Edit the DNA of the bacterium","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","Hero.Coli","Flagella","I don't know","","3685a015-fa97-4457-ad73-da1c50210fe1"
"2017/10/16 12:50:38 PM GMT+1","Moderately","Moderately","17","Female","Until the end of middle school","A lot","Yes","No","No","No","No","No","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","E. Coli","Flagella","Ampicillin","","9a2e8271-a84d-4b3c-a670-2d65326ed824"
"2017/10/16 12:50:40 PM GMT+1","Moderately","Rarely","18","Female","Until bachelor's degree","Extremely","Yes","No","No","No","No","No","Edit the DNA of the bacterium","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","Under blue light, when the GFP device is equipped","The bacterium dies","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","After being induced, it would produce more and more l-arabinose, because it would induce itself","If it produced YFP under cyan light","Hero.Coli","Flagella","Ampicillin","","bfdfd356-5d6f-4696-a2f1-c1dc338aa64b"
"2017/10/16 12:51:49 PM GMT+1","A lot","Moderately","17","Female","Until the end of middle school","Slightly","Yes","No","No","No","No","No","I don't know","I don't know","Transcriptor","Precursor","Coding Sequence","ATP","I don't know","I don't know","I don't know","I don't know","I don't know","Under blue light, when the GFP device is equipped","The bacterium glows","I don't know","I don't know","I don't know","I don't know","I don't know","It generates green fluorescence in presence of l-arabinose","","I don't know","I don't know","I don't know","I don't know","Hero.Coli","Plasmids","Ampicillin","","a7936587-8b71-43b6-9c61-17b2c2b55de3"
"2017/10/16 12:51:54 PM GMT+1","Moderately","Moderately","14","Female","Until bachelor's degree","Extremely","Yes","No","No","No","No","No","Edit the DNA of the bacterium","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","If it produced BFP under purple light","E. Coli","Flagella","Ampicillin","","7ea5c999-8001-4eee-9cdf-580d0783ce5c"
"2017/10/16 12:53:04 PM GMT+1","Slightly","Rarely","18","Female","Until the end of high school","Extremely","Yes","Yes","No","No","No","No","Edit the DNA of the bacterium","RNA sequences","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","Under blue light, when the GFP device is equipped","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","After being induced, it would produce more and more l-arabinose, because it would induce itself","If it produced YFP under cyan light","E. Coli","I don't know","I don't know","","5977184a-1be2-4725-9b48-f2782dc03efb"
"2017/10/16 12:54:50 PM GMT+1","Moderately","Moderately","18","Female","Until the end of middle school","A lot","Yes","No","No","No","No","No","Edit the DNA of the bacterium","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","Under blue light, when the GFP device is equipped","Flagella quickly disappear one by one","I don't know","It generates green fluorescence","I don't know","I don't know","I don't know","It generates green fluorescence","It makes it possible to move faster","It generates antibiotic resistance","It generates green fluorescence in presence of l-arabinose","It would produce l-arabinose all the time","If it produced YFP under cyan light","Hero.Coli","Flagella","Ampicillin","","e63a2fc6-50bd-4417-a712-fe688bf8e242"
"2017/10/16 12:55:31 PM GMT+1","A lot","A lot","17","Female","Until the end of middle school","A lot","Yes","No","No","No","No","No","Edit the DNA of the bacterium","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","It generates green fluorescence","It makes it possible to move faster","It generates antibiotic resistance","It generates green fluorescence in presence of l-arabinose","I don't know","If it produced YFP under cyan light","Hero.Coli","Flagella","Ampicillin","","2b91e6b2-d5ed-42e1-8bf5-dc23aeaf7e6a"
"2017/10/16 12:56:10 PM GMT+1","A lot","A lot","17","Female","Until the end of high school","Moderately","Yes","I don't know","No","No","No","No","Edit the DNA of the bacterium","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","Under blue light, all the time","I don't know","A plasmid - it makes it possible to equip an additional device","I don't know","I don't know","I don't know","I don't know","It generates green fluorescence","It makes it possible to move faster","It generates antibiotic resistance","It generates antibiotic resistance","After being induced, it would produce more and more l-arabinose, because it would induce itself","If it produced YFP under cyan light","Hero.Coli","Flagella","Ampicillin","","bffd0877-e77e-470a-b0f9-a9cdc6ff0a09"
"2017/10/16 12:56:26 PM GMT+1","Extremely","Extremely","19","Male","Until bachelor's degree","A lot","Yes","No","No","No","No","No","Edit the DNA of the bacterium","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","E. Coli","Flagella","I don't know","","97f6ae4f-e2a6-4721-8936-f759c8867f6a"
"2017/10/16 12:58:47 PM GMT+1","Slightly","Rarely","18","Female","Until the end of high school","Moderately","No","No","No","No","No","No","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I feel like I don't know anything.. ","3ef14300-4987-4b54-a56c-5b6d1f8a24a1"
"2017/10/16 1:01:02 PM GMT+1","Extremely","A lot","18","Female","Until bachelor's degree","A lot","I don't know","No","No","No","No","No","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","If it produced RFP under yellow light","I don't know","Flagella","Ampicillin","","6b5d392d-b737-49ef-99af-e8c445ff6379"
"2017/10/16 1:04:27 PM GMT+1","Slightly","Rarely","18 ","Female","Until bachelor's degree","Extremely","Yes","No","No","No","No","No","Edit the DNA of the bacterium","I don't know","Translator","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","If it produced YFP under cyan light","E. Coli","I don't know","Ampicillin","","5ecf601d-4eac-433e-8056-3a5b9eda0555"
"2017/10/16 2:07:57 PM GMT+1","A lot","Rarely","18","Female","Until the end of middle school","A lot","Yes","No","No","No","No","No","Edit the DNA of the bacterium","DNA sequences","Transcriptor","Promoter","Coding Sequence","RBS","It shows the end of the device","It controls when the device is active","It controls which protein is produced, and thus which ability is affected","It controls the level of expression, and thus how much the ability will be affected","Option 1","Under blue light, when the GFP device is equipped","Flagella quickly disappear one by one","A plasmid - it makes it possible to equip an additional device","It generates green fluorescence","It makes it possible to move faster","It generates antibiotic resistance","It generates green fluorescence in presence of l-arabinose","It generates green fluorescence in presence of l-arabinose","It makes it possible to move faster","It generates antibiotic resistance","It generates green fluorescence","It would be active only in l-arabinose clouds","If it produced YFP under cyan light","Hero.Coli","Flagella","Ampicillin","","00dbbdca-d86c-4bc9-803c-0602e0153f68"
"2017/10/16 2:11:47 PM GMT+1","Moderately","Rarely","19","Female","Until the end of high school","A lot","Yes","Yes","No","Once","No","No","Edit the DNA of the bacterium","DNA sequences","Terminator","Procuror","Coding Sequence","I don't know","It shows the end of the device","It controls when the device is active","It controls which protein is produced, and thus which ability is affected","It controls the level of expression, and thus how much the ability will be affected","Option 1","Under blue light, when the GFP device is equipped","Flagella quickly disappear one by one","A plasmid - it makes it possible to equip an additional device","It generates green fluorescence in presence of l-arabinose","It makes it possible to move faster","It generates antibiotic resistance","It generates green fluorescence","It generates green fluorescence","It makes it possible to move faster","It generates antibiotic resistance","It generates green fluorescence","It would be active only in l-arabinose clouds","If it produced YFP under cyan light","Cellia","Flagella","Ampicillin","","3685a015-fa97-4457-ad73-da1c50210fe1"
"2017/10/16 2:14:17 PM GMT+1","Slightly","Rarely","18","Female","Until the end of high school","Extremely","Yes","Yes","No","Once","No","No","Edit the DNA of the bacterium","DNA sequences","Terminator","Promoter","Coding Sequence","I don't know","It shows the end of the device","It controls when the device is active","It controls which protein is produced, and thus which ability is affected","It controls the level of expression, and thus how much the ability will be affected","Option 1","Under blue light, when the GFP device is equipped","Flagella quickly disappear one by one","A plasmid - it makes it possible to equip an additional device","It generates green fluorescence","It makes it possible to move faster","It generates antibiotic resistance","It generates green fluorescence in presence of l-arabinose","It generates green fluorescence","It makes it possible to move faster","It generates antibiotic resistance","It generates green fluorescence in presence of l-arabinose","After being induced, it would produce more and more l-arabinose, because it would induce itself","If it produced YFP under cyan light","Hero.Coli","Flagella","Ampicillin","","5977184a-1be2-4725-9b48-f2782dc03efb"
"2017/10/16 2:18:50 PM GMT+1","Slightly","Rarely","18","Female","Until the end of high school","Moderately","No","Yes","No","Once","No","No","Divide the bacterium","I don't know","Terminator","I don't know","Fluorescence","GFP","It controls the level of expression, and thus how much the ability will be affected","I don't know","It controls which protein is produced, and thus which ability is affected","I don't know","Option 1","Under blue light, when the GFP device is equipped","Nothing","A plasmid - it makes it possible to equip an additional device","It generates green fluorescence in presence of l-arabinose","It makes it possible to move faster","I don't know","I don't know","It generates green fluorescence in presence of l-arabinose","It makes it possible to move faster","It generates antibiotic resistance","I don't know","I don't know","If it produced YFP under cyan light","E. Coli","Flagella","Ampicillin","","3ef14300-4987-4b54-a56c-5b6d1f8a24a1"
"2017/10/16 2:22:25 PM GMT+1","Slightly","Rarely","18","Female","Until bachelor's degree","Extremely","Yes","Yes","No","Once","No","No","Edit the DNA of the bacterium","DNA sequences","Terminator","Promoter","Protein","RBS","It shows the end of the device","It controls when the device is active","It controls which protein is produced, and thus which ability is affected","It controls the level of expression, and thus how much the ability will be affected","Option 1","Under blue light, when the GFP device is equipped","Flagella quickly disappear one by one","A plasmid - it makes it possible to equip an additional device","It generates green fluorescence","It makes it possible to move faster","It generates antibiotic resistance","It generates green fluorescence in presence of l-arabinose","It generates green fluorescence","It makes it possible to move faster","It generates antibiotic resistance","It generates green fluorescence in presence of l-arabinose","It would be active only in l-arabinose clouds","If it produced GFP under yellow light","E. Coli","Flagella","Ampicillin","","5ecf601d-4eac-433e-8056-3a5b9eda0555"
"2017/10/16 2:22:44 PM GMT+1","A lot","A lot","17","Female","Until the end of high school","A lot","Yes","Yes","No","Multiple times","No","No","Edit the DNA of the bacterium","RNA sequences","Transcriptor","Promoter","Coding Sequence","GFP","It shows the end of the device","It controls when the device is active","It controls which protein is produced, and thus which ability is affected","It controls the level of expression, and thus how much the ability will be affected","Option 1","Under blue light, all the time","Flagella quickly disappear one by one","A plasmid - it makes it possible to equip an additional device","It generates green fluorescence in presence of l-arabinose","It makes it possible to move faster","It generates antibiotic resistance","It generates green fluorescence in presence of l-arabinose","It generates green fluorescence","It makes it possible to move faster","It generates antibiotic resistance","It generates green fluorescence in presence of l-arabinose","After being induced, it would produce more and more l-arabinose, because it would induce itself","If it produced YFP under cyan light","E. Coli","Flagella","Ampicillin","","bffd0877-e77e-470a-b0f9-a9cdc6ff0a09"
"2017/10/19 11:57:15 AM GMT+1","A lot","Moderately","22","Female","Until bachelor's degree","A lot","Yes","No","No","Once","No","Once","Edit the DNA of the bacterium","DNA sequences","Terminator","Promoter","Coding Sequence","RBS","It shows the end of the device","It controls when the device is active","It controls which protein is produced, and thus which ability is affected","It controls the level of expression, and thus how much the ability will be affected","Option 2","Under blue light, when the GFP device is equipped","Flagella quickly disappear one by one","A plasmid - it makes it possible to equip an additional device","It makes it possible to move faster","It makes it possible to move faster","It generates antibiotic resistance","It generates green fluorescence in presence of l-arabinose","It generates green fluorescence in presence of l-arabinose","It makes it possible to move faster","It generates antibiotic resistance","It generates green fluorescence","It would be active only in l-arabinose clouds","If it produced YFP under cyan light","E. Coli","Flagella","Ampicillin","","1f27519a-971f-4e39-bac7-9920bfc4b05b"
"2017/10/22 9:00:20 AM GMT+1","A lot","Moderately","24","Male","Until the end of middle school","A lot","No","No","No","Once","No","No","Edit the DNA of the bacterium","RNA sequences","Terminator","Promoter","Protein","RBS","It shows the end of the device","It controls when the device is active","It controls which protein is produced, and thus which ability is affected","It controls the level of expression, and thus how much the ability will be affected","Option 1","Under blue light, when the GFP device is equipped","Flagella quickly disappear one by one","A plasmid - it makes it possible to equip an additional device","It generates green fluorescence in presence of l-arabinose","It makes it possible to move faster","It generates antibiotic resistance","It generates green fluorescence in presence of l-arabinose","It generates green fluorescence","It makes it possible to move faster","It generates antibiotic resistance","It generates green fluorescence in presence of l-arabinose","After being induced, it would produce more and more l-arabinose, because it would induce itself","If it produced YFP under cyan light","E. Coli","Flagella","Ampicillin","","d3cf1687-6c27-45e7-ada7-6619ef639dbe"
"2017/10/25 10:29:57 PM GMT+1","A lot","Moderately","24","Male","Until bachelor's degree","A lot","Yes","No","No","Once","No","No","Edit the DNA of the bacterium","DNA sequences","Terminator","Promoter","Coding Sequence","RBS","It shows the end of the device","It controls when the device is active","It controls which protein is produced, and thus which ability is affected","It controls the level of expression, and thus how much the ability will be affected","Option 1","Under blue light, when the GFP device is equipped","Flagella quickly disappear one by one","A plasmid - it makes it possible to equip an additional device","It generates green fluorescence","It makes it possible to move faster","It generates antibiotic resistance","It generates green fluorescence in presence of l-arabinose","It generates green fluorescence","It makes it possible to move faster","It generates antibiotic resistance","It generates green fluorescence in presence of l-arabinose","After being induced, it would produce more and more l-arabinose, because it would induce itself","If it produced YFP under cyan light","E. Coli","Flagella","Ampicillin","","8ca16c7a-70a6-4723-bd72-65b8485a2e86"
"2017/10/26 3:44:06 PM GMT+1","A lot","Extremely","19","Male","Until bachelor's degree","A lot","Yes","Yes","No","No","No","No","Edit the DNA of the bacterium","DNA sequences","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","If it produced YFP under cyan light","E. Coli","Flagella","Ampicillin","","74cfbbd0-eb35-467c-9bad-221ac73a7444"
"2017/11/12 6:04:19 PM GMT+1","Moderately","Moderately","23","Female","Until the end of high school","A lot","I don't know","I don't know","No","No","No","No","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","","e16c0b19-a5c1-4c2d-ad0b-f54d96bced69"
"2017/11/12 8:24:36 PM GMT+1","A lot","A lot","18","Male","Until the end of middle school","A lot","Yes","Yes","No","No","No","No","I don't know","I don't know","I don't know","Protomer","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","E. Coli","I don't know","I don't know","","9ee4164c-8a5b-4ebc-98ec-9aef76badf6b"
"2017/11/13 12:06:05 AM GMT+1","Moderately","Moderately","23","Female","Until the end of high school","A lot","I don't know","I don't know","No","Once","No","No","Edit the DNA of the bacterium","DNA sequences","Terminator","Promoter","I don't know","GFP","It shows the end of the device","It controls when the device is active","It controls which protein is produced, and thus which ability is affected","It controls the level of expression, and thus how much the ability will be affected","Option 1","Under blue light, when the GFP device is equipped","Flagella quickly disappear one by one","A plasmid - it makes it possible to equip an additional device","It generates green fluorescence","It makes it possible to move faster","It generates antibiotic resistance","It generates green fluorescence in presence of l-arabinose","It generates green fluorescence","It makes it possible to move faster","It generates antibiotic resistance","It generates green fluorescence in presence of l-arabinose","After being induced, it would produce more and more l-arabinose, because it would induce itself","If it produced YFP under cyan light","Hero.Coli","Flagella","Ampicillin","","e16c0b19-a5c1-4c2d-ad0b-f54d96bced69"
"2017/11/16 3:27:55 PM GMT+1","Moderately","Rarely","21","Female","At least until master's degree","A lot","Yes","No","No","Once","No","No","Edit the DNA of the bacterium","DNA sequences","I don't know","Promoter","Coding Sequence","RBS","I don't know","It controls when the device is active","I don't know","It controls the level of expression, and thus how much the ability will be affected","Option 4","Under blue light, when the GFP device is equipped","Flagella quickly disappear one by one","A plasmid - it makes it possible to equip an additional device","It generates green fluorescence","It makes it possible to move faster","It generates antibiotic resistance","It generates green fluorescence in presence of l-arabinose","It generates green fluorescence","It makes it possible to move faster","It generates antibiotic resistance","It generates green fluorescence in presence of l-arabinose","After being induced, it would produce more and more l-arabinose, because it would induce itself","If it produced YFP under cyan light","E. Coli","Flagella","Ampicillin","","fad5b543-2e7f-48be-ad1b-5398dc720539"
"2017/11/17 2:19:26 PM GMT+1","Moderately","Moderately","14","Female","Until bachelor's degree","Extremely","Yes","No","No","Once","No","No","Edit the DNA of the bacterium","DNA sequences","Terminator","Promoter","Coding Sequence","RBS","It shows the end of the device","It controls which protein is produced, and thus which ability is affected","It controls when the device is active","It controls the level of expression, and thus how much the ability will be affected","Option 1","Under blue light, when the GFP device is equipped","Flagella quickly disappear one by one","A plasmid - it makes it possible to equip an additional device","It generates green fluorescence","It makes it possible to move faster","It generates antibiotic resistance","It generates green fluorescence in presence of l-arabinose","It generates green fluorescence","It makes it possible to move faster","It generates antibiotic resistance","It generates green fluorescence in presence of l-arabinose","It would be active only in l-arabinose clouds","If it produced YFP under cyan light","E. Coli","Flagella","Ampicillin","numéro d'élève : 1","d4179256-4a86-4e91-9ffb-9235c56ac203"
"2017/11/19 8:37:42 PM GMT+1","Extremely","A lot","18","Female","Until bachelor's degree","A lot","No","No","I don't know","Once","No","No","Edit the DNA of the bacterium","I don't know","Transcriptor","Promoter","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","Option 1","Under blue light, when the GFP device is equipped","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","Cellia","Flagella","Ampicillin","44","6b5d392d-b737-49ef-99af-e8c445ff6379"
"2017/11/20 12:02:28 PM GMT+1","Moderately","Moderately","18","Male","Until bachelor's degree","Extremely","I don't know","No","No","Once","No","No","Edit the DNA of the bacterium","DNA sequences","Terminator","Protomer","Coding Sequence","GFP","It shows the end of the device","It controls when the device is active","It controls which protein is produced, and thus which ability is affected","It controls the level of expression, and thus how much the ability will be affected","Option 1","Under blue light, when the GFP device is equipped","Flagella quickly disappear one by one","A plasmid - it makes it possible to equip an additional device","It generates green fluorescence","It makes it possible to move faster","I don't know","It generates green fluorescence in presence of l-arabinose","It generates green fluorescence","It makes it possible to move faster","It generates antibiotic resistance","It generates green fluorescence in presence of l-arabinose","It would produce l-arabinose all the time","If it produced BFP under purple light","E. Coli","Flagella","Ampicillin","4","4cd1abad-a077-46a1-bbe4-7a83594de09e"
