,3421dfc4-8085-4af7-bf73-a46e655fc2ca,6627912f-da9b-4406-a119-7b92c53af450,cb03d106-69f5-4504-bd05-38c0fef5b63c,39b30a7e-ff49-427d-bdb6-f387e56ba5db,78e2585b-4ae2-4c55-a4a2-ed3707ed2fef,315e916f-fc68-4ab5-8a14-08999dd6dc5e,f3917a26-aeb8-49e7-b322-f84889bdf8bc,6cf861f2-93ff-445a-831f-e46ca50720a5,56ed28ea-6c2d-48c5-be37-142448850eae,262b810a-925a-4744-a150-392afbd819c1,4731525f-62dd-4128-ab56-3991b403e17e,081d1c6d-8f95-4d24-9176-a44641e41e8c,2962cada-f998-4cb6-bb25-e8ff2f486dd0,ad7b68aa-c031-4368-80c5-ee26e71594f4,d06aa7a1-c36f-4f5b-b5cd-fe1845dd2801,c595e8cc-74d4-4bfc-ac20-ee758c7e58a1,c3c1d772-792d-4dd0-a05d-45d4da5187e7,64a5e3a5-f202-4327-a074-5d38cd97709f,19a1c988-0e3d-4523-a394-cad4ac268497,a54a3753-066b-41f1-bbbf-cf1e154dba78,395dd978-ca54-4016-be0e-dce0019e32d0,ffebcace-a777-44c5-afd6-157aa070cee2,7ec02476-488d-412d-917e-364af6f0f9d9,b8c2f659-c140-430d-b0fc-1c8318604fbd,1a781432-3409-488e-9970-8201b78f62e4,54f4ef9a-6e4a-4283-aa26-2b7295954a52,7b9e151d-1eba-4328-b6f9-3eaf5217d360,dc100bb5-43c7-44a4-ae39-9ebd8ddfed97,d311d20b-f4a6-476e-afcc-bdd287be116c,d88ae8de-86fd-4dc6-b59d-d3e32f6b3908,7467fcab-0da1-496a-b193-be6b7c6c5d44,0dcda023-62b3-4872-966f-eb471f071d07,3ee26d15-dd49-4c71-9234-2ef50ef5bdee,8829514a-cb9f-47fb-aaeb-3167776f1062,b53660ec-ab0d-407f-be6f-684e58b28860,748f86ca-3b50-4ffa-b906-2232092c9a44,dba89696-c774-4ce0-9193-b735e68792a6,7a8ea59e-0205-458e-afc3-89c588ef7e8f,cee3fcf7-d49d-4889-9778-9ae768c39d82,e4ccc57d-4039-4ef0-98fe-283233bea8be,4ddd709e-f420-4586-8327-0e4da00cd9b5,8aa79db1-5df8-41c4-9c05-b69a23085da7,75ad8bbf-c050-45ee-9376-29abae836ebd,abfc0fa2-800d-43b5-b2da-88131412cef4,7d7b1f64-58f4-458b-8bb4-a85c90692fa7,b2a608e2-a35d-47fc-9f64-9ea042b3e68f,50fd73e8-ef37-44ba-8081-de62507f79f7,0135e29b-678d-4188-a935-1d0bfec9450b,1b1be5b7-e341-42b7-842d-cc83b56785e1,908de40a-25d7-4ad5-a45a-de9eb3709a77,f5d5aba7-faf3-4c7b-a324-508931a37649,93c8b989-b8b1-4b78-ac56-ec066775aceb,9e320169-d927-4e03-a1e4-78b1175e5833,5dd359a7-76b4-4458-9e6a-6a373b14eaac,ccbfb274-bf92-4d4e-bfe8-eb1626713253,5a0be539-f281-451c-b7f2-a63de0594947,fa4a42a7-9752-4fe1-850a-f7486ab28b0d,6d8206cf-51e3-416f-a6d9-47de3c982a9a,a229dbd5-de78-4abe-bfcc-1716c1dff00f,138d0fd5-f669-45f2-b26b-4c6856dfd923,d54c1e02-5058-4a7b-822c-b94b1aa5437e,c27daf06-3a56-4b68-999c-d6f451a98e69,2740572c-d3e1-441c-a957-78cc8bae56d2,91280388-8cf6-4b93-ae2b-69d955368d1c,393066a0-8cbb-495d-aeae-06f131b2d12a,23e9fbde-fd65-4163-afbd-1394e0d1fa73,69a7c168-ac95-4fe8-bdcd-7866a6c6ab04,b20c3f09-9179-43ca-9fb7-e845e97c8fd5,ad3ddd76-3ff0-44b7-8ea7-56c1c896b4ee,8af8b090-dfe5-4e15-bc78-cf4a7d2b1dc8,daedb3c9-2dc0-496c-af1f-d1fd37ba7e86,9ea63ec1-ea3b-43ff-92cf-05aa50ccfafd,9fe6ae61-bcbd-4086-8e64-832fb018a439,265cae4d-4cf9-49e0-a02e-91c802b10e5a,69835f7b-13f1-4e3d-9f2e-c17e0f54c218,94abd890-c3d9-4925-9483-7480d4c865a6,3d75c635-4d81-4ce9-85e8-ce1f91b3b372,32f3be97-94fb-4a61-893a-8d60715c3513,8cf68358-747f-4351-8717-ba7933cb428b,52582e45-507b-45ce-b68f-19af8f9cd791,44ad1518-dafe-4e57-bf41-64b7801b6fb8,ff3f7744-41bc-4f49-a081-dea48bf12145,8966412d-baea-44e1-84c4-6dafb13d799d,e2c8856d-6f7c-4730-9cbd-4a245606b62d,1640d273-06d6-444b-9141-cfbeab7852af,099c4c9a-9b78-4b7a-9f70-2faf4488bb56,ddaf655f-3dd6-4fe0-8f8f-bf442f7156db,96f816e3-8551-4bb5-9e45-37273ee6970f,776e13a6-ede1-4914-ba96-8feeaf4388c1
sessionsCount,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
scorepretest,2.0,1.0,0.0,0.0,3.0,0.0,4.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,8.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,3.0,2.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,6.0,0.0,5.0,1.0,3.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,3.0,6.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,4.0,1.0,1.0,1.0,3.0,0.0,2.0,6.0,0.0,1.0,1.0,0.0,3.0,0.0
scoreposttest,18.0,14.0,9.0,2.0,4.0,13.0,18.0,12.0,7.0,0.0,19.0,19.0,7.0,21.0,16.0,23.0,5.0,15.0,18.0,22.0,12.0,17.0,2.0,17.0,7.0,14.0,4.0,9.0,20.0,4.0,16.0,23.0,17.0,14.0,13.0,11.0,20.0,13.0,6.0,2.0,5.0,4.0,19.0,12.0,2.0,1.0,3.0,1.0,18.0,18.0,14.0,13.0,9.0,21.0,6.0,10.0,6.0,11.0,8.0,12.0,19.0,19.0,3.0,3.0,14.0,16.0,11.0,5.0,16.0,21.0,9.0,9.0,6.0,0.0,5.0,18.0,13.0,11.0,15.0,7.0,0.0,6.0,19.0,12.0,5.0,15.0,5.0,4.0,18.0
scoreundefined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
configure,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,9.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
craft,23.0,19.0,21.0,12.0,5.0,14.0,18.0,9.0,3.0,16.0,22.0,21.0,7.0,18.0,20.0,21.0,3.0,42.0,26.0,4.0,18.0,17.0,26.0,8.0,11.0,17.0,5.0,17.0,20.0,6.0,11.0,10.0,6.0,5.0,20.0,24.0,17.0,38.0,9.0,7.0,6.0,8.0,15.0,21.0,10.0,22.0,10.0,6.0,32.0,16.0,19.0,28.0,11.0,27.0,12.0,6.0,8.0,12.0,6.0,5.0,21.0,20.0,4.0,2.0,16.0,16.0,8.0,7.0,8.0,13.0,13.0,6.0,6.0,3.0,12.0,16.0,13.0,21.0,7.0,6.0,4.0,12.0,18.0,21.0,3.0,38.0,3.0,6.0,23.0
death,24.0,28.0,55.0,14.0,13.0,75.0,26.0,29.0,1.0,30.0,120.0,24.0,30.0,52.0,50.0,17.0,1.0,54.0,35.0,10.0,77.0,48.0,3.0,17.0,4.0,276.0,16.0,20.0,28.0,19.0,19.0,24.0,21.0,9.0,44.0,26.0,30.0,44.0,38.0,31.0,18.0,33.0,40.0,22.0,35.0,29.0,3.0,11.0,48.0,27.0,20.0,61.0,88.0,37.0,77.0,74.0,4.0,57.0,25.0,31.0,45.0,32.0,2.0,3.0,104.0,86.0,51.0,24.0,33.0,55.0,153.0,24.0,26.0,20.0,52.0,29.0,43.0,39.0,17.0,12.0,10.0,6.0,62.0,191.0,1.0,67.0,3.0,7.0,57.0
equip,18.0,153.0,104.0,48.0,33.0,211.0,32.0,44.0,1.0,103.0,273.0,19.0,81.0,113.0,57.0,92.0,4.0,44.0,34.0,17.0,104.0,85.0,36.0,9.0,162.0,74.0,20.0,165.0,35.0,17.0,30.0,21.0,13.0,19.0,109.0,286.0,85.0,3.0,6.0,61.0,12.0,23.0,18.0,4.0,32.0,73.0,12.0,6.0,19.0,121.0,53.0,34.0,25.0,61.0,157.0,29.0,26.0,29.0,21.0,109.0,8.0,70.0,33.0,1.0,50.0,73.0,14.0,47.0,50.0,7.0,4.0,15.0,23.0,3.0,169.0,20.0,112.0,64.0,10.0,73.0,16.0,20.0,25.0,22.0,2.0,221.0,7.0,24.0,74.0
unequip,3.0,36.0,24.0,10.0,2.0,89.0,3.0,6.0,1.0,12.0,17.0,1.0,6.0,42.0,17.0,47.0,1.0,13.0,7.0,1.0,31.0,14.0,5.0,3.0,12.0,3.0,2.0,13.0,7.0,4.0,10.0,5.0,1.0,1.0,39.0,66.0,46.0,2.0,1.0,3.0,2.0,6.0,2.0,2.0,8.0,6.0,8.0,3.0,3.0,36.0,10.0,6.0,4.0,14.0,12.0,2.0,5.0,6.0,4.0,5.0,3.0,19.0,3.0,1.0,4.0,34.0,8.0,5.0,19.0,1.0,3.0,3.0,5.0,2.0,49.0,2.0,12.0,9.0,3.0,11.0,2.0,6.0,4.0,3.0,4.0,16.0,3.0,3.0,10.0
add,53.0,104.0,134.0,165.0,15.0,110.0,76.0,67.0,2.0,61.0,221.0,101.0,49.0,58.0,150.0,87.0,4.0,360.0,138.0,4.0,105.0,98.0,73.0,58.0,75.0,67.0,17.0,49.0,85.0,22.0,50.0,50.0,9.0,9.0,195.0,124.0,77.0,117.0,33.0,23.0,21.0,18.0,76.0,125.0,30.0,46.0,51.0,32.0,103.0,65.0,71.0,250.0,93.0,78.0,123.0,16.0,14.0,65.0,24.0,26.0,67.0,77.0,8.0,1.0,39.0,48.0,94.0,43.0,26.0,99.0,79.0,34.0,21.0,2.0,88.0,26.0,50.0,106.0,55.0,12.0,33.0,16.0,90.0,164.0,18.0,192.0,18.0,10.0,171.0
remove,23.0,34.0,73.0,9.0,6.0,12.0,40.0,25.0,0.0,3.0,81.0,45.0,15.0,18.0,99.0,35.0,0.0,207.0,57.0,0.0,23.0,14.0,2.0,11.0,10.0,26.0,4.0,8.0,42.0,5.0,7.0,18.0,1.0,0.0,53.0,17.0,15.0,15.0,6.0,0.0,0.0,0.0,33.0,69.0,1.0,3.0,2.0,5.0,52.0,25.0,2.0,93.0,38.0,39.0,0.0,1.0,1.0,25.0,0.0,2.0,38.0,39.0,0.0,0.0,14.0,4.0,10.0,10.0,6.0,61.0,36.0,0.0,0.0,0.0,26.0,3.0,16.0,24.0,0.0,0.0,1.0,1.0,43.0,104.0,4.0,70.0,5.0,0.0,82.0
gotomooc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gotourl,3.0,2.0,3.0,2.0,3.0,2.0,2.0,4.0,2.0,4.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,6.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,4.0,3.0,4.0,2.0,2.0,3.0,5.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,2.0,7.0,5.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0
pickup,30.0,19.0,18.0,10.0,4.0,18.0,19.0,10.0,2.0,14.0,16.0,19.0,10.0,19.0,19.0,19.0,2.0,19.0,17.0,3.0,23.0,19.0,0.0,10.0,10.0,20.0,10.0,18.0,25.0,10.0,12.0,13.0,10.0,10.0,19.0,19.0,19.0,29.0,10.0,10.0,10.0,11.0,19.0,19.0,16.0,36.0,5.0,4.0,25.0,19.0,19.0,16.0,10.0,29.0,10.0,10.0,10.0,10.0,10.0,10.0,18.0,23.0,3.0,1.0,22.0,25.0,10.0,10.0,17.0,16.0,12.0,10.0,10.0,3.0,18.0,16.0,12.0,21.0,10.0,10.0,2.0,6.0,19.0,18.0,2.0,33.0,3.0,8.0,18.0
reach,30.0,22.0,22.0,7.0,4.0,19.0,20.0,14.0,2.0,11.0,20.0,19.0,11.0,18.0,24.0,19.0,2.0,24.0,23.0,2.0,31.0,22.0,0.0,17.0,7.0,20.0,7.0,19.0,26.0,9.0,11.0,13.0,11.0,5.0,20.0,21.0,17.0,31.0,29.0,6.0,6.0,11.0,22.0,25.0,8.0,37.0,5.0,3.0,28.0,17.0,15.0,33.0,76.0,34.0,17.0,21.0,7.0,23.0,11.0,12.0,20.0,23.0,2.0,2.0,19.0,22.0,5.0,9.0,17.0,19.0,16.0,9.0,9.0,2.0,20.0,39.0,10.0,15.0,9.0,10.0,2.0,6.0,24.0,41.0,2.0,33.0,2.0,5.0,19.0
restart,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
selectmenu,5.0,3.0,5.0,2.0,4.0,3.0,8.0,4.0,4.0,6.0,6.0,2.0,4.0,3.0,10.0,2.0,6.0,17.0,4.0,4.0,8.0,5.0,18.0,2.0,2.0,4.0,3.0,11.0,6.0,2.0,3.0,3.0,4.0,5.0,4.0,6.0,4.0,12.0,3.0,14.0,4.0,12.0,5.0,3.0,22.0,10.0,8.0,2.0,13.0,12.0,14.0,7.0,5.0,6.0,8.0,4.0,3.0,5.0,8.0,3.0,6.0,5.0,2.0,6.0,9.0,8.0,31.0,8.0,7.0,18.0,6.0,2.0,3.0,3.0,2.0,7.0,2.0,3.0,3.0,2.0,3.0,11.0,4.0,12.0,4.0,15.0,2.0,2.0,5.0
start,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
switch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scoredelta,16.0,13.0,9.0,2.0,1.0,13.0,14.0,11.0,7.0,0.0,18.0,16.0,7.0,21.0,14.0,21.0,1.0,15.0,18.0,14.0,12.0,17.0,1.0,15.0,5.0,14.0,3.0,9.0,20.0,4.0,16.0,22.0,16.0,9.0,12.0,10.0,17.0,11.0,6.0,0.0,5.0,3.0,16.0,12.0,2.0,1.0,-3.0,1.0,13.0,17.0,11.0,13.0,7.0,21.0,5.0,9.0,6.0,10.0,8.0,12.0,16.0,18.0,3.0,2.0,14.0,15.0,8.0,-1.0,15.0,19.0,8.0,9.0,5.0,0.0,4.0,14.0,12.0,10.0,14.0,4.0,0.0,4.0,13.0,12.0,4.0,14.0,5.0,1.0,18.0
maxChapter,14.0,14.0,14.0,4.0,3.0,14.0,14.0,4.0,1.0,6.0,13.0,14.0,4.0,14.0,14.0,14.0,1.0,14.0,14.0,1.0,14.0,14.0,0.0,4.0,4.0,12.0,4.0,5.0,14.0,4.0,6.0,7.0,4.0,4.0,14.0,14.0,14.0,13.0,4.0,4.0,4.0,4.0,14.0,14.0,4.0,4.0,1.0,2.0,14.0,14.0,5.0,13.0,4.0,14.0,4.0,4.0,4.0,4.0,4.0,4.0,14.0,14.0,1.0,1.0,5.0,13.0,4.0,4.0,12.0,4.0,5.0,4.0,4.0,1.0,14.0,4.0,5.0,6.0,4.0,4.0,1.0,1.0,14.0,14.0,1.0,14.0,1.0,4.0,14.0
efficiency,-9.63522255158196,-10.577214007366207,-11.267764077846183,-29.118792650222563,-28.161300080092495,-11.710865477873696,-9.738223659069533,-28.648789019159672,-26.896250257456156,-28.430396093316983,-26.762719199484355,-9.556273786359919,-28.762117717571037,-10.681124651100339,-11.227403381617052,-10.012795014742462,-27.381758073723248,-11.89084166676213,-10.33861079775779,-28.400327654404762,-11.275825461378407,-10.763944546211777,-30.587530672563044,-28.17075322095164,-29.171543222070902,-27.14855058903851,-27.715691174615564,-28.879900759855296,-10.020362623524726,-27.812540997660204,-27.788068161141283,-27.47491426615965,-27.550176733169728,-27.399353845247497,-11.076040417919554,-11.183658669231583,-9.974261623411836,-25.619155478564807,-28.104061841925976,-28.45033809444159,-27.69859674291056,-28.0569943356462,-9.9912419867237,-10.013786969716119,-28.320284951625077,-28.779817280441357,-29.160614138115193,-28.356652596858257,-10.74285214762499,-10.296399644631501,-28.450338099709864,-26.230205237026507,-29.022648788785254,-10.747087773644878,-29.55165673300477,-28.474435635733894,-27.6084456391609,-28.738020152767344,-27.981959155242105,-28.785648210111244,-10.137727080510896,-10.000432758592607,-28.68800972707816,-26.896250258885544,-28.69757922479528,-26.816207655940545,-28.762117725390247,-28.442174782717153,-25.843889072727695,-28.80293970067869,-28.87193259974869,-28.020180364627386,-27.981959149626434,-28.184104545768182,-10.997374954263133,-28.159942301470046,-28.73954340089089,-28.520955689070643,-28.13796340861671,-28.282544625918632,-28.975691799146244,-28.824141906293587,-10.799131478495578,-12.227543170327365,-28.035684540889594,-12.084811836424175,-28.282544618930533,-27.509354738179752,-11.0566290420613
thoroughness,690.0,361.0,378.0,120.0,20.0,252.0,342.0,90.0,6.0,224.0,352.0,399.0,70.0,342.0,380.0,399.0,6.0,798.0,442.0,12.0,414.0,323.0,0.0,80.0,110.0,340.0,50.0,612.0,500.0,60.0,132.0,130.0,60.0,50.0,380.0,456.0,323.0,1102.0,90.0,70.0,60.0,88.0,285.0,399.0,160.0,792.0,50.0,24.0,1600.0,304.0,361.0,448.0,110.0,783.0,120.0,60.0,80.0,120.0,60.0,50.0,378.0,460.0,12.0,2.0,352.0,400.0,80.0,70.0,136.0,208.0,156.0,60.0,60.0,9.0,216.0,512.0,156.0,441.0,70.0,60.0,8.0,72.0,342.0,378.0,6.0,1254.0,9.0,48.0,414.0
