,48167450-4258-4ea3-9c84-eaf7bc82572e,467212d4-4378-4c4b-85d3-9bd42886891d,e25cd405-a18d-4ff0-8f3a-f21c26d15919,93bbdb65-3b28-4586-b258-cb950f3a608b,cce9a48a-8634-43ae-a1cf-d336895fd0bc,638d09b3-b5dd-4331-a41e-54785792f985,82122046-a2a2-4e22-8e43-5004182e53aa,714b25ab-f969-4391-92e9-2aba1b7bf707,59e00ac4-8e1c-4800-812f-3bd1fd40e022,3fbc0702-7779-498c-bd23-e4848517edc1,9edf8d5c-b390-4a25-af78-2062eca5d4f9,ffc6bcd0-99f7-42ef-862c-b58c8a588b9d,35bbde51-daa8-4cf7-8574-81d483a6e94d,f48b03e1-0f7d-49e4-acb0-504299ff41e1,790aa0f9-c3f6-4153-8ff6-a337e65a51cc,53e70c1c-3ff2-4849-80e5-738c969ce998,2ec42361-423e-4cfd-b7f6-9110a62617b8,b6d0502a-420d-435e-8b7a-9b42106ca5b4,d2357cde-2d0f-4e41-8e7e-8dc0f5b9f05b,49eacabd-da6f-4105-92c8-56358bf5760a,90ad99ba-0ced-4bc4-9cfa-89ff2b00a4f2,ea98662e-4a20-482e-8b06-29e07d7f70ac,3f719697-7ae0-4a33-8d80-e628de2af720,41ee4341-c08e-44eb-a362-79f3d2dc1e7a,d83fa47e-5d89-405d-baf9-ea6123fe6667,eecce316-f019-4ee4-bb9c-008e07f6abe0,b4481eec-2035-484f-b46b-ee83c60d14e2,2c4c578d-86f6-4e39-9780-35567ddaf646,32b07cb9-6c3f-464f-8fa4-9022349df5cf,630a3eb3-2034-491d-94ac-8a8804b5fc8b
sessionsCount,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
scorepretest,0.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0,8.0,8.0,5.0,11.0,4.0,0.0,5.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0
scoreposttest,15.0,19.0,8.0,5.0,2.0,23.0,13.0,2.0,7.0,15.0,9.0,20.0,17.0,7.0,5.0,4.0,4.0,15.0,11.0,3.0,3.0,7.0,9.0,7.0,11.0,16.0,10.0,10.0,17.0,6.0
scoreundefined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
configure,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
craft,7.0,14.0,2.0,17.0,11.0,11.0,21.0,12.0,1.0,19.0,11.0,10.0,9.0,3.0,16.0,6.0,13.0,11.0,1.0,12.0,15.0,7.0,13.0,2.0,4.0,6.0,8.0,6.0,19.0,9.0
death,35.0,11.0,1.0,49.0,53.0,8.0,22.0,42.0,1.0,69.0,31.0,21.0,29.0,1.0,40.0,23.0,23.0,11.0,1.0,14.0,21.0,25.0,22.0,14.0,8.0,21.0,14.0,18.0,35.0,31.0
equip,23.0,44.0,1.0,104.0,81.0,11.0,164.0,66.0,0.0,91.0,42.0,78.0,19.0,39.0,156.0,21.0,212.0,70.0,3.0,31.0,28.0,48.0,75.0,16.0,22.0,2.0,77.0,11.0,10.0,42.0
unequip,8.0,4.0,1.0,19.0,2.0,0.0,69.0,2.0,0.0,11.0,12.0,13.0,3.0,18.0,15.0,1.0,79.0,10.0,0.0,2.0,16.0,8.0,15.0,2.0,1.0,3.0,7.0,3.0,7.0,5.0
add,37.0,91.0,1.0,66.0,27.0,42.0,186.0,55.0,0.0,77.0,157.0,98.0,42.0,120.0,129.0,43.0,91.0,98.0,5.0,45.0,108.0,49.0,81.0,13.0,12.0,25.0,41.0,21.0,154.0,104.0
remove,0.0,46.0,0.0,1.0,0.0,29.0,20.0,8.0,0.0,19.0,61.0,7.0,18.0,8.0,16.0,18.0,22.0,28.0,3.0,2.0,1.0,9.0,0.0,1.0,2.0,1.0,9.0,0.0,56.0,35.0
gotomooc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gotourl,2.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0
pickup,11.0,15.0,1.0,17.0,12.0,17.0,17.0,11.0,0.0,18.0,10.0,15.0,9.0,2.0,16.0,10.0,17.0,12.0,5.0,7.0,18.0,5.0,11.0,7.0,9.0,10.0,11.0,10.0,17.0,8.0
reach,7.0,18.0,2.0,19.0,8.0,15.0,17.0,14.0,0.0,19.0,26.0,15.0,18.0,2.0,18.0,8.0,16.0,12.0,2.0,7.0,19.0,4.0,8.0,7.0,6.0,17.0,10.0,19.0,17.0,15.0
restart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
selectmenu,2.0,2.0,2.0,3.0,6.0,3.0,2.0,6.0,5.0,1.0,4.0,4.0,1.0,8.0,2.0,2.0,1.0,6.0,2.0,3.0,7.0,9.0,2.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0
start,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
switch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scoredelta,15.0,18.0,4.0,5.0,2.0,22.0,12.0,2.0,-1.0,7.0,4.0,9.0,13.0,7.0,0.0,1.0,2.0,14.0,11.0,3.0,3.0,7.0,9.0,7.0,8.0,16.0,9.0,10.0,16.0,6.0
maxChapter,6.0,14.0,1.0,12.0,5.0,14.0,12.0,6.0,0.0,14.0,4.0,12.0,13.0,1.0,12.0,4.0,13.0,5.0,4.0,4.0,12.0,3.0,7.0,4.0,4.0,4.0,5.0,4.0,14.0,6.0
efficiency,-28.0317206580236,-26.704655117543613,-26.608568185528256,-26.54126455824928,-28.50376325559538,-25.62602809844235,-27.049555349562997,-28.472165500110325,-26.751669028100462,-10.55665917018205,-29.30941300722569,-27.327033202078944,-26.52055733053481,-29.916675144461284,-27.601162336767953,-28.18144851379867,-26.13489509513878,-28.60274509418389,-26.37252122854863,-28.272882699988774,-26.226496039007927,-28.991195995406343,-28.068970541343933,-27.729159381144466,-27.750665587958387,-27.645486918985487,-28.299231555327506,-27.681204994306324,-26.72464042275675,-28.628100298608324
thoroughness,77.0,210.0,2.0,289.0,132.0,187.0,357.0,132.0,0.0,342.0,110.0,150.0,81.0,6.0,256.0,60.0,221.0,132.0,5.0,84.0,270.0,35.0,143.0,14.0,36.0,60.0,88.0,60.0,323.0,72.0
fun,7.84837406919996,7.663995092136426,6.204612306535687,7.666847959171046,7.629303796062047,6.995655344304621,7.786896846563292,7.818491412598962,6.402868651081915,7.871008982916955,8.316722898094458,7.36033995023339,7.327731917003098,7.167431318022634,7.937028922104621,7.759004750032967,8.008063462141259,7.882104708208287,7.22955757919824,7.285213153876093,7.816626554636363,7.4827983098341,7.664219922992052,7.426404419078375,7.491287908291963,8.155047883712273,7.619696735485616,8.093454941752023,8.007373727967812,7.7380801961667585
completionTime,101457093188.72856,36893490147.4641,119903836607.22511,18446745100.92755,83010349548.56598,27670116979.348328,18446745527.986553,92233722471.78078,138350580552.8217,2243.143,110680465038.26733,46116861525.11788,46116861263.30387,119903836647.61911,36893490276.795105,92233721534.25076,9223374516.223776,83010349966.90999,129127208546.8229,92233719710.83377,18446745606.29455,119903837711.60011,64563605782.364426,119903836634.72212,119903836825.72412,92233721739.41077,83010349868.29999,92233721067.83476,27670117965.68532,101457094402.13255
ch00completion,9223372036.854776,9223372036.854776,0.0,0.0,0.0,9223372036.854776,0.0,9223372036.854776,9223372036.854776,0.0,9223372036.854776,9223372036.854776,9223372036.854776,0.0,9223372036.854776,0.0,0.0,0.0,9223372036.854776,0.0,0.0,9223372036.854776,0.0,9223372036.854776,9223372036.854776,0.0,0.0,0.0,9223372036.854776,9223372036.854776
ch01completion,9223372036.854776,9223372036.854776,128.113,55.49,69.014,9223372036.854776,50.186,9223372036.854776,9223372036.854776,60.249,9223372036.854776,9223372036.854776,9223372036.854776,168.507,9223372036.854776,108.757,78.311,73.441,9223372036.854776,55.83,115.955,9223372036.854776,95.341,9223372036.854776,9223372036.854776,212.884,174.598,76.173,9223372036.854776,9223372036.854776
ch02completion,9223372036.854776,9223372036.854776,9223372036.854776,168.903,543.855,9223372036.854776,233.384,407.651,9223372036.854776,243.914,519.941,9223372036.854776,9223372036.854776,9223372036.854776,537.212,866.615,434.16,152.829,9223372036.854776,-850.657,167.165,1014.552,680.345,9223372036.854776,9223372036.854776,869.826,375.258,406.44,9223372036.854776,9223372036.854776
ch03completion,120.74,9223372036.854776,9223372036.854776,90.623,151.641,40.136,49.561,105.03,9223372036.854776,77.071,62.897,72.07,9223372036.854776,9223372036.854776,78.121,98.577,86.451,63.757,9223372036.854776,59.952,71.151,217.936,144.038,71.652,166.519,143.495,111.154,47.803,99.266,66.729
ch04completion,48.701,44.849,9223372036.854776,32.407,75.12,13.802,17.357,99.435,9223372036.854776,45.758,13.172,67.157,6.848,9223372036.854776,85.476,91.754,48.628,204.459,30.856,77.161,77.949,9223372036.854776,77.914,83.958,180.093,144.658,69.389,168.871,18.79,7.751
ch05completion,441.439,1053.449,9223372036.854776,234.841,377.243,220.674,314.363,1034.735,9223372036.854776,330.625,9223372036.854776,634.35,472.413,9223372036.854776,650.285,9223372036.854776,179.292,1140.731,9223372036.854776,9223372036.854776,483.299,9223372036.854776,333.172,9223372036.854776,9223372036.854776,9223372036.854776,806.208,9223372036.854776,504.024,1532.802
ch06completion,172.446,98.49,9223372036.854776,168.445,9223372036.854776,92.188,143.19,456.382,9223372036.854776,198.903,9223372036.854776,229.195,74.558,9223372036.854776,389.282,9223372036.854776,250.869,9223372036.854776,9223372036.854776,9223372036.854776,97.623,9223372036.854776,110.834,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,159.572,389.448
ch07completion,9223372036.854776,182.624,9223372036.854776,132.143,9223372036.854776,49.464,235.071,9223372036.854776,9223372036.854776,75.349,9223372036.854776,67.451,73.28,9223372036.854776,102.758,9223372036.854776,268.221,9223372036.854776,9223372036.854776,9223372036.854776,80.424,9223372036.854776,82.737,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,343.812,9223372036.854776
ch08completion,9223372036.854776,76.55,9223372036.854776,89.79,9223372036.854776,58.447,318.563,9223372036.854776,9223372036.854776,326.942,9223372036.854776,50.366,190.293,9223372036.854776,151.151,9223372036.854776,546.372,9223372036.854776,9223372036.854776,9223372036.854776,311.167,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,69.633,9223372036.854776
ch09completion,9223372036.854776,67.901,9223372036.854776,38.107,9223372036.854776,63.884,61.942,9223372036.854776,9223372036.854776,33.261,9223372036.854776,85.304,47.452,9223372036.854776,62.802,9223372036.854776,143.342,9223372036.854776,9223372036.854776,9223372036.854776,63.369,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,66.218,9223372036.854776
ch10completion,9223372036.854776,24.475,9223372036.854776,8.42,9223372036.854776,34.217,10.999,9223372036.854776,9223372036.854776,7.737,9223372036.854776,94.478,40.326,9223372036.854776,51.7,9223372036.854776,34.016,9223372036.854776,9223372036.854776,9223372036.854776,52.37,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,77.863,9223372036.854776
ch11completion,9223372036.854776,3.153,9223372036.854776,3.14,9223372036.854776,3.217,7.502,9223372036.854776,9223372036.854776,3.263,9223372036.854776,3.172,3.155,9223372036.854776,4.577,9223372036.854776,3.805,9223372036.854776,9223372036.854776,9223372036.854776,5.519,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,4.549,9223372036.854776
ch12completion,9223372036.854776,5.021,9223372036.854776,4.909,9223372036.854776,9.879,12.159,9223372036.854776,9223372036.854776,3.76,9223372036.854776,37.301,6.074,9223372036.854776,16.012,9223372036.854776,18.956,9223372036.854776,9223372036.854776,9223372036.854776,6.594,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9.308,9223372036.854776
ch13completion,9223372036.854776,185.851,9223372036.854776,9223372036.854776,9223372036.854776,186.759,9223372036.854776,9223372036.854776,9223372036.854776,251.734,9223372036.854776,9223372036.854776,164.631,9223372036.854776,9223372036.854776,9223372036.854776,386.946,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,241.37,9223372036.854776
ch14completion,9223372036.854776,257.682,9223372036.854776,9223372036.854776,9223372036.854776,96.117,9223372036.854776,9223372036.854776,9223372036.854776,584.577,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,260.716,9223372036.854776
ch00total,0.0,0.0,127.983,55.477,68.899,0.0,50.223,37.013,0.0,60.214,44.853,0.0,0.0,168.465,62.483,108.264,78.278,73.408,0.0,55.794,115.942,53.361,95.309,0.0,0.0,212.802,174.556,76.128,0.0,0.0
ch01total,644.142,0.0,123.202,168.903,543.853,126.083,233.255,407.658,0.0,243.912,519.898,211.465,0.0,1184.19,537.111,867.047,434.146,152.789,0.0,565.636,167.168,1014.523,680.358,14.218,308.442,869.86,375.269,406.443,196.907,9.301
ch02total,120.709,0.0,0.0,90.618,151.704,40.197,49.653,105.03,0.0,77.025,62.829,72.054,0.0,0.0,78.209,98.592,86.465,63.381,0.0,59.946,71.12,217.904,144.011,71.648,166.545,143.027,111.152,47.817,99.276,66.732
ch03total,124.152,117.299,0.0,46.825,101.553,22.519,160.179,540.235,0.0,45.805,616.916,120.148,200.098,0.0,384.311,412.764,57.716,259.56,30.817,291.778,186.335,491.419,77.931,215.33,775.08,344.781,146.491,403.95,52.477,127.448
ch04total,366.003,980.952,0.0,220.424,350.411,211.97,171.556,593.885,0.0,330.644,2847.233,581.392,348.994,0.0,351.391,671.287,170.201,1085.995,1610.358,443.119,374.835,0.0,333.132,1378.561,542.292,1786.143,729.065,2212.697,470.338,1412.711
ch05total,172.421,98.5,0.0,168.418,721.357,92.187,143.121,456.348,0.0,198.794,0.0,229.148,74.65,0.0,389.26,0.0,250.833,885.481,0.0,0.0,97.697,0.0,110.771,0.0,0.0,0.0,343.536,0.0,159.527,389.778
ch06total,1134.139,182.546,0.0,132.135,0.0,49.356,235.131,426.653,0.0,75.457,0.0,67.484,73.264,0.0,102.713,0.0,268.194,0.0,0.0,0.0,80.448,0.0,82.831,0.0,0.0,0.0,0.0,0.0,343.785,288.094
ch07total,0.0,76.598,0.0,89.553,0.0,58.529,318.571,0.0,0.0,326.961,0.0,50.006,190.297,0.0,151.153,0.0,546.401,0.0,0.0,0.0,311.145,0.0,519.09,0.0,0.0,0.0,0.0,0.0,69.672,0.0
ch08total,0.0,67.949,0.0,38.383,0.0,63.886,61.868,0.0,0.0,33.277,0.0,85.685,47.465,0.0,62.884,0.0,143.282,0.0,0.0,0.0,63.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.236,0.0
ch09total,0.0,24.433,0.0,8.341,0.0,34.243,11.043,0.0,0.0,7.707,0.0,94.408,40.284,0.0,51.675,0.0,34.078,0.0,0.0,0.0,52.376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.762,0.0
ch10total,0.0,3.2,0.0,87.988,0.0,3.203,7.54,0.0,0.0,89.139,0.0,3.237,3.216,0.0,4.604,0.0,3.82,0.0,0.0,0.0,5.505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.621,0.0
ch11total,0.0,5.017,0.0,317.985,0.0,9.441,12.16,0.0,0.0,22.221,0.0,37.296,55.233,0.0,16.03,0.0,18.932,0.0,0.0,0.0,14.847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.324,0.0
ch12total,0.0,185.763,0.0,639.387,0.0,187.217,846.339,0.0,0.0,147.366,0.0,44.502,115.348,0.0,607.208,0.0,386.91,0.0,0.0,0.0,797.815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.359,0.0
ch13total,0.0,257.663,0.0,0.0,0.0,95.94,0.0,0.0,0.0,584.594,0.0,0.0,373.077,0.0,0.0,0.0,448.413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.654,0.0
ch14total,0.0,191.896,0.0,0.0,0.0,747.872,0.0,0.0,0.0,334.498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1294.421,0.0
totalTime,2561.566,2191.816,251.185,2064.437,1937.777,1742.643,2300.639,2566.822,0.0,2577.614,4091.729,1596.825,1521.926,1352.655,2799.032,2157.954,2927.669,2520.614,1641.175,1416.273,2338.602,1777.207,2043.433,1679.757,1792.359,3356.613,1880.069,3147.035,3346.359,2294.064
pretest Want to learn more about Biology,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pretest Want to learn more about Synthetic biology,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pretest Want to learn more about Video games,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pretest Want to learn more about Engineering,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pretest Played Hero.Coli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pretest Age,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
pretest Gender,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
pretest Interested in video games,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
pretest Interested in biology,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
pretest Studied biology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pretest Play video games,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
pretest Heard about Synthetic biology or BioBricks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pretest Volunteered to answer more questions,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pretest Enjoyed playing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
