,Timestamp,Want to learn more about Biology,Want to learn more about Synthetic biology,Want to learn more about Video games,Want to learn more about Engineering,Played Hero.Coli,Age,Gender,Interested in video games,Interested in biology,Studied biology,Play video games,Heard about Synthetic biology or BioBricks,Volunteered to answer more questions,Enjoyed playing,Genotype and phenotype,BioBricks and devices composition,Ampicillin antibiotic,Name: Plasmid,Function: TER,Name: PR,Function - game: CDS,Name: TER,Function - biology: CDS,Name: RBS,Example: CDS,Name: CDS,Function: PR,Function: RBS,Function: Plasmid,Name: Operator XXX,Device: RBS:PCONS:FLHDC:TER XXX,Device: PCONS:RBS:FLHDC:TER,Device: PBAD:RBS:GFP:TER,Device: PBAD:GFP:RBS:TER XXX,Device: GFP:RBS:PCONS:TER XXX,Device: PCONS:GFP:RBS:TER XXX,Device: AMPR:RBS:PCONS:TER XXX,Device: RBS:PCONS:AMPR:TER XXX,Green fluorescence,Unequip the movement device: effect,Device: PBAD:RBS:ARA:TER,Remarks,userId,Language,Temporality
909,2018-04-27 10:24:23+00:00,Extremely,Extremely,Moderately,A lot,No / not yet,24,Female,Not at all,Extremely,Until the end of high school,Not at all,No,Yes,Not applicable: not played yet,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,48167450-4258-4ea3-9c84-eaf7bc82572e,fr,pretest
910,2018-04-27 10:24:39+00:00,A lot,Moderately,Moderately,A lot,No / not yet,23,Male,Moderately,Slightly,Until the end of high school,Moderately,"Yes, but I don't exactly know what it means",Yes,Not applicable: not played yet,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,TER,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,467212d4-4378-4c4b-85d3-9bd42886891d,fr,pretest
911,2018-04-27 11:02:47+00:00,A lot,A lot,A lot,A lot,No / not yet,57,Male,Moderately,Moderately,Not even in middle school,Rarely,"Yes, but I don't exactly know what it means",Yes,A bit,I don't know,Proteins,I don't know,None of these,None of these,None of these,RBS,None of these,I don't know,None of these,I don't know,I don't know,None of these,RBS,None of these,TER,The bricks are not well-ordered,The bricks are not well-ordered,I don't know,It generates antibiotic resistance,It generates antibiotic resistance,It generates green fluorescence,The bricks are not well-ordered,It generates green fluorescence in presence of arabinose inducer,"Under blue light, when the GFP device is equipped",The bacterium glows,I don't know,,e25cd405-a18d-4ff0-8f3a-f21c26d15919,fr,pretest
913,2018-04-27 11:07:54+00:00,Extremely,Extremely,Not at all,A lot,I just played for the first time,24,Female,Not at all,Extremely,Until the end of high school,Not at all,No,Yes,Moderately,Edit the DNA of the bacterium,Proteins,Ampicillin,Plasmid,I don't know,I don't know,RBS,TER,TER,PR,I don't know,PR,PR,RBS,RBS,CDS,The bricks are not well-ordered,I don't know,It generates green fluorescence in presence of arabinose inducer,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,"Under blue light, when the GFP device is equipped",Flagella quickly disappear one by one,I don't know,,48167450-4258-4ea3-9c84-eaf7bc82572e,fr,posttest
914,2018-04-27 11:14:48+00:00,A lot,Moderately,Moderately,A lot,I just played for the first time,23,Male,Moderately,Slightly,Until the end of high school,Moderately,"Yes, but I don't exactly know what it means",Yes,A lot,Edit the DNA of the bacterium,DNA sequences,Arabinose,Plasmid,TER,I don't know,CDS,TER,I don't know,I don't know,I don't know,CDS,TER,RBS,Plasmid,PR,The bricks are not well-ordered,It makes it possible to move faster,It generates green fluorescence in presence of arabinose inducer,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,"Under blue light, when the GFP device is equipped",Flagella quickly disappear one by one,I don't know,,467212d4-4378-4c4b-85d3-9bd42886891d,fr,posttest
915,2018-04-27 11:22:19+00:00,Slightly,Moderately,Moderately,Moderately,I just played for the first time,57,Male,Moderately,Moderately,Not even in middle school,Rarely,"Yes, but I don't exactly know what it means",Yes,A bit,Edit the DNA of the bacterium,Amino-acids,Ampicillin,None of these,I don't know,RBS,RBS,None of these,TER,CDS,I don't know,None of these,PR,TER,Plasmid,PR,The bricks are not well-ordered,It generates green fluorescence,It generates green fluorescence in presence of arabinose inducer,It makes it possible to move faster,It generates antibiotic resistance,I don't know,It makes it possible to move faster,It generates antibiotic resistance,"Under blue light, when the GFP device is equipped",The bacterium glows,"It produces more and more arabinose after being induced, because it induces itself",,e25cd405-a18d-4ff0-8f3a-f21c26d15919,fr,posttest
916,2018-04-27 12:04:39+00:00,Moderately,A lot,Moderately,A lot,No / not yet,16,Male,Moderately,Moderately,Until the end of high school,Moderately,No,Yes,Not applicable: not played yet,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,93bbdb65-3b28-4586-b258-cb950f3a608b,fr,pretest
917,2018-04-27 12:04:50+00:00,Moderately,Slightly,A lot,Moderately,No / not yet,14,Male,A lot,Moderately,Not even in middle school,A lot,No,Yes,Not applicable: not played yet,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,cce9a48a-8634-43ae-a1cf-d336895fd0bc,fr,pretest
918,2018-04-27 12:40:43+00:00,Moderately,Slightly,A lot,Slightly,I just played for the first time,14,Male,A lot,Moderately,Not even in middle school,A lot,No,Yes,Moderately,Edit the DNA of the bacterium,DNA sequences,Arabinose,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,cce9a48a-8634-43ae-a1cf-d336895fd0bc,fr,posttest
919,2018-04-27 12:40:59+00:00,Moderately,Slightly,Moderately,A lot,I just played for the first time,16,Male,Moderately,Moderately,Until the end of high school,Moderately,No,Yes,Moderately,Edit the DNA of the bacterium,DNA sequences,Ampicillin,I don't know,CDS,RBS,CDS,PR,I don't know,PR,I don't know,RBS,I don't know,I don't know,TER,CDS,It generates green fluorescence,It generates green fluorescence in presence of arabinose inducer,It makes it possible to move faster,It generates antibiotic resistance,I don't know,It generates antibiotic resistance,It makes it possible to move faster,It generates green fluorescence in presence of arabinose inducer,"Under blue light, when the GFP device is equipped",The bacterium glows,It is active only in arabinose clouds,,93bbdb65-3b28-4586-b258-cb950f3a608b,fr,posttest
921,2018-04-27 13:20:48+00:00,Moderately,Moderately,A lot,Moderately,No / not yet,35,Male,A lot,Slightly,Until the end of high school,A lot,No,Yes,Not applicable: not played yet,I don't know,I don't know,Ampicillin,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,638d09b3-b5dd-4331-a41e-54785792f985,fr,pretest
922,2018-04-27 13:23:26+00:00,Slightly,Slightly,Moderately,Slightly,No / not yet,22,Male,A lot,Moderately,Until the end of high school,Moderately,"Yes, but I don't exactly know what it means",Yes,Not applicable: not played yet,I don't know,I don't know,Ampicillin,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,82122046-a2a2-4e22-8e43-5004182e53aa,fr,pretest
923,2018-04-27 13:23:57+00:00,A lot,A lot,A lot,Slightly,No / not yet,18,Female,Moderately,A lot,Until the end of middle school,Not at all,No,Yes,Not applicable: not played yet,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,714b25ab-f969-4391-92e9-2aba1b7bf707,fr,pretest
925,2018-04-27 13:38:17+00:00,A lot,A lot,A lot,A lot,No / not yet,35,Female,Slightly,Slightly,Until the end of high school,Rarely,"Yes, but I don't exactly know what it means",Yes,Not applicable: not played yet,Edit the DNA of the bacterium,RNA sequences,Ampicillin,I don't know,I don't know,I don't know,I don't know,None of these,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,I don't know,The bricks are not well-ordered,The bricks are not well-ordered,"Under blue light, when the GFP device is equipped",The bacterium dies,It produces arabinose all the time,,59e00ac4-8e1c-4800-812f-3bd1fd40e022,fr,pretest
926,2018-04-27 13:45:04+00:00,Extremely,A lot,Slightly,Moderately,No / not yet,23,Female,Not at all,A lot,Until bachelor's degree,Not at all,"Yes, but I don't exactly know what it means",Yes,A lot,Gather nanobots,Amino-acids,Ampicillin,I don't know,PR,TER,RBS,PR,CDS,CDS,RBS,TER,Plasmid,RBS,Plasmid,CDS,I don't know,It makes it possible to move faster,It generates green fluorescence,It generates green fluorescence in presence of arabinose inducer,I don't know,I don't know,I don't know,It generates antibiotic resistance,"Under blue light, when the GFP device is equipped",Flagella quickly disappear one by one,"It produces more and more arabinose after being induced, because it induces itself",,3fbc0702-7779-498c-bd23-e4848517edc1,fr,pretest
927,2018-04-27 13:51:03+00:00,Moderately,Moderately,A lot,Moderately,I just played for the first time,35,Male,A lot,Slightly,Until the end of high school,A lot,No,Yes,A lot,Edit the DNA of the bacterium,DNA sequences,Ampicillin,Plasmid,TER,PR,CDS,TER,None of these,CDS,CDS,CDS,None of these,RBS,Plasmid,PR,The bricks are not well-ordered,It makes it possible to move faster,It generates green fluorescence in presence of arabinose inducer,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,"Under blue light, when the GFP device is equipped",Flagella quickly disappear one by one,"It produces more and more arabinose after being induced, because it induces itself",,638d09b3-b5dd-4331-a41e-54785792f985,fr,posttest
928,2018-04-27 13:55:49+00:00,Slightly,Slightly,Slightly,Slightly,I just played for the first time,35,Female,Slightly,Slightly,Until the end of high school,Rarely,"Yes, but I don't exactly know what it means",Yes,A bit,Divide the bacterium,DNA sequences,Ampicillin,CDS,RBS,PR,None of these,TER,Plasmid,RBS,Plasmid,PR,RBS,CDS,CDS,TER,It generates green fluorescence,It generates green fluorescence in presence of arabinose inducer,It generates green fluorescence,It generates green fluorescence in presence of arabinose inducer,It generates green fluorescence,It generates green fluorescence in presence of arabinose inducer,It generates green fluorescence,It generates green fluorescence in presence of arabinose inducer,"Under blue light, when the GFP device is equipped",Flagella quickly disappear one by one,It produces nothing since it induces itself,tres  bien  pour les professionnels,59e00ac4-8e1c-4800-812f-3bd1fd40e022,fr,posttest
929,2018-04-27 14:05:12+00:00,Slightly,Slightly,Slightly,Slightly,I just played for the first time,22,Male,A lot,Moderately,Until the end of high school,Moderately,"Yes, but I don't exactly know what it means",Yes,A bit,Edit the DNA of the bacterium,RNA sequences,Ampicillin,None of these,I don't know,PR,PR,TER,TER,None of these,CDS,Plasmid,Plasmid,RBS,TER,PR,The bricks are not well-ordered,It makes it possible to move faster,It generates green fluorescence in presence of arabinose inducer,It generates antibiotic resistance,The bricks are not well-ordered,It generates green fluorescence,The bricks are not well-ordered,I don't know,"Under blue light, when the GFP device is equipped",Flagella quickly disappear one by one,It produces arabinose all the time,,82122046-a2a2-4e22-8e43-5004182e53aa,fr,posttest
931,2018-04-27 14:07:52+00:00,A lot,A lot,A lot,Slightly,I just played for the first time,18,Female,Moderately,A lot,Until the end of middle school,Not at all,No,Yes,Moderately,Edit the DNA of the bacterium,I don't know,Ampicillin,I don't know,Plasmid,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,"In front of the doors, when the GFP device is equipped",I don't know,I don't know,tres bonne idee de jeu sur la biologie,714b25ab-f969-4391-92e9-2aba1b7bf707,fr,posttest
933,2018-04-27 14:16:59+00:00,Moderately,Slightly,Extremely,Extremely,No / not yet,14,Male,A lot,Slightly,Not even in middle school,A lot,"Yes, but I don't exactly know what it means",Yes,A lot,I don't know,I don't know,I don't know,I don't know,RBS,PR,I don't know,TER,Plasmid,I don't know,Plasmid,TER,PR,Plasmid,PR,None of these,It generates antibiotic resistance,I don't know,It generates green fluorescence,It makes it possible to move faster,It generates green fluorescence,It generates green fluorescence in presence of arabinose inducer,The bricks are not well-ordered,It makes it possible to move faster,I don't know,I don't know,I don't know,,9edf8d5c-b390-4a25-af78-2062eca5d4f9,fr,pretest
934,2018-04-27 14:34:29+00:00,A lot,Moderately,Not at all,Moderately,I just played for the first time,23,Female,Not at all,A lot,Until bachelor's degree,Not at all,"Yes, but I don't exactly know what it means",Yes,Moderately,Edit the DNA of the bacterium,RNA sequences,Ampicillin,Plasmid,Plasmid,PR,RBS,TER,CDS,PR,CDS,CDS,PR,RBS,I don't know,PR,It makes it possible to move faster,It makes it possible to move faster,It generates green fluorescence,It generates green fluorescence in presence of arabinose inducer,The bricks are not well-ordered,It generates green fluorescence,The bricks are not well-ordered,It generates antibiotic resistance,"Under blue light, when the GFP device is equipped",Flagella quickly disappear one by one,It produces arabinose all the time,,3fbc0702-7779-498c-bd23-e4848517edc1,fr,posttest
941,2018-04-27 15:14:00+00:00,Slightly,Slightly,Slightly,Moderately,No / not yet,33,Male,Slightly,A lot,Until bachelor's degree,Rarely,"Yes, but I don't exactly know what it means",Yes,Not applicable: not played yet,Edit the DNA of the bacterium,DNA sequences,Ampicillin,None of these,RBS,I don't know,Plasmid,I don't know,CDS,None of these,I don't know,Plasmid,Plasmid,RBS,None of these,TER,The bricks are not well-ordered,It generates green fluorescence,It makes it possible to move faster,It makes it possible to move faster,The bricks are not well-ordered,It generates antibiotic resistance,The bricks are not well-ordered,The bricks are not well-ordered,"Under blue light, when the GFP device is equipped",Flagella quickly disappear one by one,It produces arabinose all the time,,ffc6bcd0-99f7-42ef-862c-b58c8a588b9d,fr,pretest
942,2018-04-27 15:25:45+00:00,Slightly,Slightly,A lot,A lot,I just played for the first time,14,Male,A lot,Slightly,Not even in middle school,A lot,"Yes, but I don't exactly know what it means",Yes,Moderately,Edit the DNA of the bacterium,I don't know,I don't know,I don't know,None of these,TER,I don't know,None of these,I don't know,RBS,CDS,I don't know,CDS,I don't know,Plasmid,I don't know,The bricks are not well-ordered,It generates green fluorescence,It generates antibiotic resistance,I don't know,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,"Under blue light, all the time",Nothing,I don't know,,9edf8d5c-b390-4a25-af78-2062eca5d4f9,fr,posttest
944,2018-04-27 15:54:28+00:00,Slightly,Slightly,Moderately,Moderately,I just played for the first time,33,Male,Slightly,A lot,Until bachelor's degree,Rarely,"Yes, but I don't exactly know what it means",Yes,A lot,Edit the DNA of the bacterium,DNA sequences,Ampicillin,Plasmid,TER,PR,None of these,RBS,RBS,RBS,I don't know,CDS,None of these,RBS,None of these,None of these,The bricks are not well-ordered,It makes it possible to move faster,It generates green fluorescence in presence of arabinose inducer,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,"Under blue light, when the GFP device is equipped",Flagella quickly disappear one by one,It is active only in arabinose clouds,,ffc6bcd0-99f7-42ef-862c-b58c8a588b9d,fr,posttest
949,2018-04-28 10:22:15+00:00,Moderately,Moderately,A lot,A lot,No / not yet,15,Male,A lot,Moderately,Not even in middle school,Moderately,No,Yes,Not applicable: not played yet,I don't know,I don't know,I don't know,I don't know,RBS,I don't know,I don't know,RBS,I don't know,I don't know,I don't know,TER,I don't know,I don't know,PR,I don't know,The bricks are not well-ordered,It generates antibiotic resistance,It makes it possible to move faster,It generates green fluorescence in presence of arabinose inducer,The bricks are not well-ordered,I don't know,The bricks are not well-ordered,The bricks are not well-ordered,I don't know,The bacterium dies,I don't know,,35bbde51-daa8-4cf7-8574-81d483a6e94d,fr,pretest
950,2018-04-28 10:25:56+00:00,Extremely,Extremely,Extremely,Extremely,No / not yet,71,Prefer not to say,Slightly,Slightly,At least until master's degree,Not at all,"Yes, and I know what it means",Yes,Not applicable: not played yet,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,f48b03e1-0f7d-49e4-acb0-504299ff41e1,fr,pretest
951,2018-04-28 10:27:48+00:00,A lot,Moderately,Slightly,Moderately,No / not yet,17,Female,Slightly,Not at all,Until the end of high school,Rarely,No,Yes,Not applicable: not played yet,Edit the DNA of the bacterium,I don't know,Ampicillin,Plasmid,CDS,I don't know,RBS,TER,I don't know,I don't know,RBS,PR,I don't know,CDS,I don't know,None of these,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,"Under blue light, all the time",The bacterium dies,It is active only in arabinose clouds,,790aa0f9-c3f6-4153-8ff6-a337e65a51cc,fr,pretest
952,2018-04-28 10:35:00+00:00,Slightly,Slightly,A lot,A lot,No / not yet,13,Female,Moderately,Slightly,Not even in middle school,Moderately,No,Yes,Not applicable: not played yet,I don't know,I don't know,I don't know,I don't know,CDS,I don't know,I don't know,None of these,I don't know,I don't know,I don't know,Plasmid,I don't know,RBS,Plasmid,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,It makes it possible to move faster,I don't know,I don't know,"Under blue light, all the time",Flagella quickly disappear one by one,It produces nothing since it induces itself,,53e70c1c-3ff2-4849-80e5-738c969ce998,fr,pretest
954,2018-04-28 10:54:12+00:00,Moderately,A lot,A lot,A lot,I just played for the first time,15,Male,A lot,Moderately,Not even in middle school,Moderately,No,Yes,A lot,Edit the DNA of the bacterium,DNA sequences,Ampicillin,None of these,TER,RBS,CDS,TER,Plasmid,Plasmid,CDS,CDS,PR,CDS,Plasmid,PR,The bricks are not well-ordered,It generates antibiotic resistance,It generates green fluorescence in presence of arabinose inducer,It generates green fluorescence in presence of arabinose inducer,The bricks are not well-ordered,It generates green fluorescence in presence of arabinose inducer,The bricks are not well-ordered,The bricks are not well-ordered,"Under blue light, when the GFP device is equipped",Flagella quickly disappear one by one,It is active only in arabinose clouds,,35bbde51-daa8-4cf7-8574-81d483a6e94d,fr,posttest
